stopPointRef,no_of_buses
NSR:Quay:29431,7069
NSR:Quay:49473,4671
NSR:Quay:40171,23209
NSR:Quay:98250,384
NSR:Quay:17032,554
NSR:Quay:47259,669
NSR:Quay:39363,2010
NSR:Quay:25430,3017
NSR:Quay:17827,2269
14417498,1663
NSR:Quay:217,901
NSR:Quay:55398,12814
NSR:Quay:32735,1542
NSR:Quay:88631,4287
NSR:Quay:90479,7641
NSR:Quay:55302,3416
NSR:Quay:4821,9970
NSR:Quay:28823,6309
NSR:Quay:87621,797
NSR:Quay:50047,2233
NSR:Quay:60656,809
NSR:Quay:84241,1350
NSR:Quay:4518,13232
NSR:Quay:104063,4218
14397561,1244
NSR:Quay:2792,5058
NSR:Quay:97741,2198
14302477,3565
NSR:Quay:61476,2076
NSR:Quay:52541,1097
NSR:Quay:39383,4739
NSR:Quay:38672,11135
NSR:Quay:102290,874
NSR:Quay:14191,1288
NSR:Quay:7568,14472
NSR:Quay:1410,7049
NSR:Quay:5128,3188
NSR:Quay:55684,3678
NSR:Quay:40005,6944
NSR:Quay:9546,12018
NSR:Quay:97081,934
NSR:Quay:86477,1973
NSR:Quay:103585,12949
14114775,1497
NSR:Quay:54460,1438
NSR:Quay:100238,1070
NSR:Quay:89222,3498
NSR:Quay:56137,2832
NSR:Quay:93745,775
NSR:Quay:95362,1084
NSR:Quay:77658,3179
14322221,5154
NSR:Quay:83919,4148
NSR:Quay:23104,568
NSR:Quay:17990,3538
NSR:Quay:109980,1486
NSR:Quay:20892,647
NSR:Quay:851,6274
NSR:Quay:102054,9338
NSR:Quay:107749,486
NSR:Quay:31542,7436
NSR:Quay:89731,1155
NSR:Quay:70114,435
NSR:Quay:92351,715
NSR:Quay:88500,1444
NSR:Quay:13178,286
NSR:Quay:26300,1948
NSR:Quay:71692,1734
NSR:Quay:85751,1575
NSR:Quay:46372,1599
NSR:Quay:26355,4519
NSR:Quay:11265,5563
NSR:Quay:55772,1197
NSR:Quay:94844,2806
NSR:Quay:19305,1760
NSR:Quay:48902,771
NSR:Quay:73803,2986
NSR:Quay:84271,791
NSR:Quay:87137,3918
NSR:Quay:83685,4129
NSR:Quay:67787,852
NSR:Quay:1672,2391
NSR:Quay:53208,2347
NSR:Quay:44488,1338
NSR:Quay:28393,612
NSR:Quay:102545,184
NSR:Quay:39803,780
14497071,396
NSR:Quay:54924,2821
NSR:Quay:105605,3500
NSR:Quay:85988,3875
NSR:Quay:23796,375
NSR:Quay:48482,1206
14452924,802
NSR:Quay:26251,3388
NSR:Quay:65600,5116
NSR:Quay:87496,839
NSR:Quay:27201,974
NSR:Quay:17579,1127
NSR:Quay:29946,3600
NSR:Quay:11591,4665
NSR:Quay:42547,818
NSR:Quay:42683,612
NSR:Quay:71585,2909
NSR:Quay:98071,1702
NSR:Quay:27344,1794
NSR:Quay:12974,796
14302506,838
NSR:Quay:90387,952
NSR:Quay:69131,1043
NSR:Quay:55808,7212
NSR:Quay:93929,836
NSR:Quay:19619,185
NSR:Quay:19187,806
NSR:Quay:56626,1972
NSR:Quay:2058,1117
NSR:Quay:29605,1471
NSR:Quay:27542,574
NSR:Quay:83986,2283
NSR:Quay:85610,1040
NSR:Quay:84698,2521
NSR:Quay:26801,736
NSR:Quay:22415,520
NSR:Quay:60657,754
NSR:Quay:19068,3345
NSR:Quay:23314,751
NSR:Quay:40873,1666
NSR:Quay:55704,1564
NSR:Quay:73958,207
NSR:Quay:58769,821
14163470,993
NSR:Quay:61322,1398
16889,379
NSR:Quay:82609,638
NSR:Quay:61781,255
NSR:Quay:34322,6012
NSR:Quay:2716,464
NSR:Quay:55269,4193
NSR:Quay:96543,1241
NSR:Quay:55534,881
NSR:Quay:7837,751
NSR:Quay:94069,570
NSR:Quay:54903,447
NSR:Quay:49614,3496
NSR:Quay:73875,1792
NSR:Quay:4265,3526
NSR:Quay:105429,554
NSR:Quay:40431,842
NSR:Quay:60853,1107
NSR:Quay:78729,1353
NSR:Quay:54517,1434
NSR:Quay:61388,1573
NSR:Quay:78470,1612
NSR:Quay:50030,2240
NSR:Quay:75469,2278
NSR:Quay:94450,426
NSR:Quay:96841,1872
NSR:Quay:75534,513
NSR:Quay:18380,376
NSR:Quay:97540,567
NSR:Quay:77753,760
NSR:Quay:68886,1405
NSR:Quay:58381,2237
NSR:Quay:29533,1256
NSR:Quay:52731,263
NSR:Quay:49246,1401
NSR:Quay:28911,687
NSR:Quay:84863,567
NSR:Quay:9058,1907
NSR:Quay:23351,1531
NSR:Quay:101269,670
NSR:Quay:51911,377
NSR:Quay:50485,1769
NSR:Quay:68648,78
NSR:Quay:45271,2293
NSR:Quay:66994,986
NSR:Quay:67714,287
NSR:Quay:77146,1897
NSR:Quay:53706,745
NSR:Quay:95758,564
NSR:Quay:109742,100
NSR:Quay:87444,1536
NSR:Quay:48813,244
NSR:Quay:39618,519
NSR:Quay:73537,631
NSR:Quay:85315,1762
NSR:Quay:40542,430
NSR:Quay:31041,656
NSR:Quay:97116,1003
NSR:Quay:50942,1767
NSR:Quay:42677,2043
NSR:Quay:10828,624
NSR:Quay:93301,91
NSR:Quay:99184,408
NSR:Quay:83771,1854
NSR:Quay:79371,184
NSR:Quay:102782,6554
NSR:Quay:90949,1038
NSR:Quay:19936,755
NSR:Quay:5635,1507
NSR:Quay:13085,361
NSR:Quay:82276,956
NSR:Quay:24734,1576
NSR:Quay:84704,1433
NSR:Quay:11099,762
NSR:Quay:92871,607
NSR:Quay:105857,583
NSR:Quay:23734,1308
NSR:Quay:98507,627
NSR:Quay:102542,1746
NSR:Quay:49114,863
NSR:Quay:21952,342
NSR:Quay:28346,804
NSR:Quay:22204,1095
NSR:Quay:33216,598
NSR:Quay:56785,1369
NSR:Quay:80910,1323
NSR:Quay:2713,345
NSR:Quay:78741,726
NSR:Quay:19072,748
NSR:Quay:20064,167
NSR:Quay:35819,143
NSR:Quay:89490,774
NSR:Quay:39974,615
NSR:Quay:71746,916
NSR:Quay:50583,1018
NSR:Quay:14278,997
NSR:Quay:66558,802
NSR:Quay:54308,473
NSR:Quay:79003,362
NSR:Quay:44383,495
NSR:Quay:69271,273
NSR:Quay:46606,363
NSR:Quay:27109,730
NSR:Quay:94547,597
NSR:Quay:107750,375
NSR:Quay:21545,182
NSR:Quay:78926,293
NSR:Quay:103362,543
NSR:Quay:108698,363
NSR:Quay:1223,276
NSR:Quay:47221,387
NSR:Quay:37566,313
NSR:Quay:91172,428
NSR:Quay:41649,670
NSR:Quay:97043,1001
NSR:Quay:98153,305
NSR:Quay:94566,849
NSR:Quay:76292,257
NSR:Quay:27429,1077
NSR:Quay:33705,1010
NSR:Quay:89674,564
NSR:Quay:71566,156
NSR:Quay:54987,342
NSR:Quay:3196,71
NSR:Quay:14880,776
NSR:Quay:104541,370
NSR:Quay:109733,184
NSR:Quay:29711,646
NSR:Quay:44751,495
NSR:Quay:56727,570
NSR:Quay:104759,105
NSR:Quay:103191,439
NSR:Quay:34825,237
NSR:Quay:14035,371
NSR:Quay:56129,518
NSR:Quay:44221,306
NSR:Quay:86765,283
NSR:Quay:110666,81
NSR:Quay:56767,868
NSR:Quay:32047,320
NSR:Quay:109677,373
NSR:Quay:10982,681
NSR:Quay:87183,384
NSR:Quay:38668,342
NSR:Quay:15679,184
NSR:Quay:100241,421
NSR:Quay:100900,257
NSR:Quay:97029,783
NSR:Quay:42181,379
NSR:Quay:21476,365
NSR:Quay:66616,200
NSR:Quay:15649,183
NSR:Quay:71511,79
NSR:Quay:6931,381
NSR:Quay:86832,164
NSR:Quay:79520,192
NSR:Quay:20124,373
NSR:Quay:89991,392
NSR:Quay:28634,150
NSR:Quay:106679,101
NSR:Quay:62861,170
NSR:Quay:16301,203
NSR:Quay:100972,298
NSR:Quay:10377,188
NSR:Quay:79744,353
NSR:Quay:21835,346
NSR:Quay:97441,443
NSR:Quay:53933,237
NSR:Quay:13689,361
NSR:Quay:39735,214
NSR:Quay:20010,179
NSR:Quay:110535,167
NSR:Quay:60448,339
NSR:Quay:107193,170
NSR:Quay:54916,320
GAR3.601,194
NSR:Quay:80480,398
NSR:Quay:61882,85
NSR:Quay:110782,163
NSR:Quay:110922,145
NSR:Quay:65341,141
NSR:Quay:4379,76
NSR:Quay:28040,192
NSR:Quay:3092,74
NSR:Quay:4497,18
NSR:Quay:1292,54
NSR:Quay:1016,15
NSR:Quay:104041,9
9025915004822301,1
NSR:Quay:109087,2
9025915032803401,1
NSR:Quay:84488,12094
NSR:Quay:104027,57720
NSR:Quay:13282,7319
NSR:Quay:25449,12101
NSR:Quay:74423,7665
NSR:Quay:10461,52798
NSR:Quay:1151,49781
NSR:Quay:11016,52043
NSR:Quay:55009,18209
NSR:Quay:97040,56657
NSR:Quay:17969,23846
14417516,1455
NSR:Quay:28729,26441
NSR:Quay:73096,11146
NSR:Quay:26771,2701
NSR:Quay:53907,118786
NSR:Quay:11855,13664
NSR:Quay:72691,32133
NSR:Quay:56179,1376
NSR:Quay:75378,24686
NSR:Quay:51908,34170
NSR:Quay:88606,3320
NSR:Quay:18121,27503
NSR:Quay:9401,66772
NSR:Quay:2787,4690
NSR:Quay:6600,40173
NSR:Quay:94397,4970
NSR:Quay:12987,6972
NSR:Quay:89308,43020
NSR:Quay:23381,11456
NSR:Quay:57021,571
NSR:Quay:36795,1275
NSR:Quay:20397,2209
NSR:Quay:96599,1258
NSR:Quay:96582,1319
NSR:Quay:8837,7327
NSR:Quay:65993,895
NSR:Quay:4767,5180
NSR:Quay:67592,43530
NSR:Quay:108064,511
NSR:Quay:30154,10844
NSR:Quay:57270,1000
NSR:Quay:6176,7446
NSR:Quay:33053,24851
NSR:Quay:10384,12672
NSR:Quay:6688,18032
NSR:Quay:12047,21059
NSR:Quay:16447,6454
NSR:Quay:70338,47894
NSR:Quay:40458,2237
NSR:Quay:54341,12820
NSR:Quay:86095,912
NSR:Quay:49122,18856
NSR:Quay:54233,12226
NSR:Quay:11923,56934
NSR:Quay:10598,16162
NSR:Quay:10825,54806
NSR:Quay:87558,880
NSR:Quay:9085,31959
NSR:Quay:10282,35523
NSR:Quay:105179,40396
NSR:Quay:9504,31036
NSR:Quay:26154,8271
NSR:Quay:17975,723
NSR:Quay:49139,66615
NSR:Quay:7242,18208
NSR:Quay:10918,7683
NSR:Quay:97566,2373
NSR:Quay:52285,5219
NSR:Quay:3774,7280
NSR:Quay:8285,32561
NSR:Quay:5990,46424
NSR:Quay:7786,54989
NSR:Quay:75728,22523
14417483,2794
14124415,3003
NSR:Quay:65989,7917
NSR:Quay:32235,12023
NSR:Quay:28720,2743
NSR:Quay:77970,1494
NSR:Quay:24966,11680
NSR:Quay:7099,35029
NSR:Quay:49900,874
NSR:Quay:66433,7757
NSR:Quay:38490,1691
NSR:Quay:75220,18874
NSR:Quay:72649,11401
14124508,1644
NSR:Quay:83230,778
NSR:Quay:8219,19918
NSR:Quay:54078,4198
NSR:Quay:9717,29979
NSR:Quay:54619,2680
NSR:Quay:66416,2764
14194976,1746
NSR:Quay:10669,9292
NSR:Quay:29586,6888
NSR:Quay:4717,6085
NSR:Quay:26663,4453
NSR:Quay:54743,3883
NSR:Quay:50300,6980
NSR:Quay:46455,36375
NSR:Quay:54094,17192
NSR:Quay:47824,3725
NSR:Quay:55753,26497
NSR:Quay:48964,9319
NSR:Quay:80978,1180
NSR:Quay:727,3866
NSR:Quay:26288,16252
NSR:Quay:49806,11681
NSR:Quay:77688,8602
NSR:Quay:74802,484
NSR:Quay:55301,1187
NSR:Quay:55171,7076
NSR:Quay:47588,28179
NSR:Quay:35155,388
NSR:Quay:37761,8780
NSR:Quay:33830,3483
NSR:Quay:218,12585
NSR:Quay:37381,12338
NSR:Quay:32785,9926
NSR:Quay:107930,11429
NSR:Quay:58563,6602
NSR:Quay:35183,14235
NSR:Quay:33855,1896
NSR:Quay:37279,7899
NSR:Quay:2624,5342
NSR:Quay:111275,4907
NSR:Quay:36699,3664
NSR:Quay:2439,1885
NSR:Quay:105720,4881
NSR:Quay:85644,1139
NSR:Quay:70753,301
NSR:Quay:70238,657
NSR:Quay:48047,15238
NSR:Quay:82593,1799
NSR:Quay:2859,6829
NSR:Quay:81955,3291
NSR:Quay:93721,499
14436796,1242
NSR:Quay:89294,780
NSR:Quay:69437,9662
NSR:Quay:96884,1738
NSR:Quay:53077,986
NSR:Quay:51007,4508
NSR:Quay:27269,2149
NSR:Quay:49150,6459
NSR:Quay:88182,1230
NSR:Quay:51814,6771
NSR:Quay:37258,783
NSR:Quay:54910,3032
NSR:Quay:23505,1862
NSR:Quay:101009,377
NSR:Quay:14871,5341
NSR:Quay:73891,1489
NSR:Quay:35283,2326
NSR:Quay:18822,5199
NSR:Quay:104699,10352
NSR:Quay:43309,313
NSR:Quay:70041,371
NSR:Quay:24682,1304
NSR:Quay:70146,8099
NSR:Quay:74014,6484
NSR:Quay:73735,8267
NSR:Quay:44496,6229
NSR:Quay:108641,495
NSR:Quay:17187,1661
NSR:Quay:48306,387
NSR:Quay:111125,448
NSR:Quay:90713,2558
NSR:Quay:90869,485
NSR:Quay:24378,1193
NSR:Quay:7628,5753
NSR:Quay:75127,2681
14291740,1236
NSR:Quay:55678,1047
14124428,2448
NSR:Quay:58465,2682
NSR:Quay:79037,4289
NSR:Quay:53494,2335
NSR:Quay:38675,5044
NSR:Quay:74919,737
14113008,2015
NSR:Quay:74543,1093
NSR:Quay:42236,7239
NSR:Quay:43985,4096
NSR:Quay:30929,1705
14417390,1315
NSR:Quay:28173,4097
NSR:Quay:98301,1247
NSR:Quay:102356,335
NSR:Quay:43676,306
NSR:Quay:92742,1573
NSR:Quay:58200,2406
NSR:Quay:53556,4006
NSR:Quay:3007,2941
NSR:Quay:104088,1782
NSR:Quay:67901,3555
NSR:Quay:78750,709
NSR:Quay:81692,4709
14163476,954
NSR:Quay:46113,3051
NSR:Quay:22981,2047
NSR:Quay:57416,2917
NSR:Quay:47702,1701
NSR:Quay:92029,10399
NSR:Quay:94695,916
NSR:Quay:76679,424
NSR:Quay:89600,2919
NSR:Quay:60686,2218
NSR:Quay:36544,886
NSR:Quay:34641,1100
NSR:Quay:37982,950
NSR:Quay:26594,1143
NSR:Quay:68589,5916
NSR:Quay:57320,1191
NSR:Quay:48600,3318
NSR:Quay:45618,1798
NSR:Quay:78574,533
NSR:Quay:78808,939
NSR:Quay:103988,623
NSR:Quay:8609,6539
NSR:Quay:46908,4500
NSR:Quay:40757,1094
NSR:Quay:25731,919
NSR:Quay:18789,6165
NSR:Quay:87988,1004
NSR:Quay:102760,1961
NSR:Quay:82132,4348
NSR:Quay:17605,6578
NSR:Quay:27402,2217
NSR:Quay:107129,1802
NSR:Quay:109489,288
NSR:Quay:15281,1076
NSR:Quay:24850,1344
NSR:Quay:6611,833
NSR:Quay:42312,1482
NSR:Quay:80316,2126
NSR:Quay:83307,1732
NSR:Quay:58961,353
NSR:Quay:18572,912
NSR:Quay:3869,507
NSR:Quay:76299,205
NSR:Quay:65743,4408
NSR:Quay:21106,402
NSR:Quay:70140,192
NSR:Quay:5251,1032
NSR:Quay:68394,1400
NSR:Quay:110595,136
NSR:Quay:31104,5081
NSR:Quay:50444,2654
NSR:Quay:31903,1120
NSR:Quay:64987,811
NSR:Quay:101109,207
NSR:Quay:31681,351
NSR:Quay:81749,2403
NSR:Quay:103206,371
NSR:Quay:25364,9231
NSR:Quay:16178,1538
NSR:Quay:90350,402
NSR:Quay:6644,381
NSR:Quay:37912,416
NSR:Quay:40223,963
NSR:Quay:68258,847
NSR:Quay:26821,1340
NSR:Quay:20364,1566
NSR:Quay:45433,456
NSR:Quay:28200,1055
NSR:Quay:91219,639
NSR:Quay:55441,880
NSR:Quay:19649,711
NSR:Quay:101917,840
NSR:Quay:81655,1254
NSR:Quay:44272,1062
NSR:Quay:42392,950
NSR:Quay:71713,4207
NSR:Quay:24023,559
NSR:Quay:40993,799
14163298,854
NSR:Quay:90096,1128
NSR:Quay:28885,1518
NSR:Quay:97683,1276
NSR:Quay:101763,1575
14313557,835
NSR:Quay:19478,2334
NSR:Quay:75935,204
NSR:Quay:9140,372
NSR:Quay:12527,926
NSR:Quay:39773,2131
NSR:Quay:51349,1773
NSR:Quay:50379,684
NSR:Quay:26304,1862
NSR:Quay:12682,640
NSR:Quay:63089,713
NSR:Quay:84521,1022
NSR:Quay:56316,499
NSR:Quay:48265,244
NSR:Quay:23501,2286
NSR:Quay:48626,1961
NSR:Quay:106671,369
NSR:Quay:17073,172
NSR:Quay:13060,186
NSR:Quay:17808,1144
NSR:Quay:47143,1994
NSR:Quay:83732,965
NSR:Quay:78525,2616
NSR:Quay:100052,4944
NSR:Quay:48987,678
14181281,605
NSR:Quay:38921,3399
NSR:Quay:44100,535
NSR:Quay:61698,337
14452734,847
NSR:Quay:95427,1552
NSR:Quay:45888,632
NSR:Quay:48477,2468
NSR:Quay:58224,324
NSR:Quay:14683,214
NSR:Quay:34183,656
NSR:Quay:15411,482
NSR:Quay:73450,1694
NSR:Quay:78088,360
NSR:Quay:107410,865
NSR:Quay:79090,551
NSR:Quay:6337,412
NSR:Quay:92263,45
NSR:Quay:72669,387
NSR:Quay:75789,805
NSR:Quay:67523,1050
NSR:Quay:75071,1909
NSR:Quay:80290,704
NSR:Quay:89036,225
NSR:Quay:6635,566
NSR:Quay:44811,423
NSR:Quay:26922,265
NSR:Quay:62672,700
NSR:Quay:67043,1469
NSR:Quay:87902,650
NSR:Quay:89398,551
NSR:Quay:47792,429
NSR:Quay:98366,1185
NSR:Quay:1436,534
NSR:Quay:5778,794
NSR:Quay:91513,1060
NSR:Quay:6068,1295
NSR:Quay:106527,1621
NSR:Quay:89700,189
NSR:Quay:69807,1229
NSR:Quay:74786,456
NSR:Quay:103793,291
NSR:Quay:1459,382
NSR:Quay:100343,443
NSR:Quay:65430,525
NSR:Quay:15552,499
NSR:Quay:74389,482
NSR:Quay:16859,177
NSR:Quay:80775,354
NSR:Quay:60811,170
NSR:Quay:78964,1224
NSR:Quay:12780,350
NSR:Quay:82338,1183
NSR:Quay:39247,950
NSR:Quay:100573,920
NSR:Quay:107186,343
NSR:Quay:109949,293
NSR:Quay:106127,638
NSR:Quay:83903,836
NSR:Quay:110583,170
NSR:Quay:13850,185
NSR:Quay:42963,306
NSR:Quay:41272,456
NSR:Quay:84948,500
NSR:Quay:42460,729
NSR:Quay:31736,162
NSR:Quay:2728,553
NSR:Quay:34681,588
NSR:Quay:106712,457
NSR:Quay:61431,1459
NSR:Quay:23560,572
NSR:Quay:26167,549
NSR:Quay:27610,693
NSR:Quay:108666,382
NSR:Quay:93124,1191
NSR:Quay:13848,551
NSR:Quay:83280,952
NSR:Quay:98289,1031
NSR:Quay:28633,583
NSR:Quay:103146,397
NSR:Quay:76703,425
NSR:Quay:16288,1092
NSR:Quay:85393,279
NSR:Quay:75683,516
NSR:Quay:14292,103
NSR:Quay:41740,799
NSR:Quay:89358,433
NSR:Quay:93793,607
NSR:Quay:62602,255
NSR:Quay:7196,381
NSR:Quay:93634,1279
NSR:Quay:15869,285
NSR:Quay:68294,583
NSR:Quay:27040,265
NSR:Quay:92768,252
NSR:Quay:73339,305
NSR:Quay:42626,535
14447194,211
NSR:Quay:100805,172
NSR:Quay:59845,140
NSR:Quay:14124,212
NSR:Quay:8998,304
NSR:Quay:18996,237
NSR:Quay:17402,369
NSR:Quay:4284,176
NSR:Quay:92463,153
NSR:Quay:27888,211
NSR:Quay:36164,179
NSR:Quay:4142,127
NSR:Quay:79263,255
NSR:Quay:94272,49
NSR:Quay:15572,372
NSR:Quay:76688,175
NSR:Quay:70614,187
NSR:Quay:34657,33
NSR:Quay:19986,179
NSR:Quay:62596,68
NSR:Quay:98249,384
NSR:Quay:33351,48
NSR:Quay:100123,4
NSR:Quay:83506,88
NSR:Quay:101432,13
NSR:Quay:98429,9143
NSR:Quay:82518,3264
NSR:Quay:89263,97800
NSR:Quay:67868,648
NSR:Quay:29637,22121
NSR:Quay:69990,2530
NSR:Quay:71447,17027
NSR:Quay:12429,44552
NSR:Quay:53228,304863
NSR:Quay:55288,1086
NSR:Quay:73729,155740
NSR:Quay:87727,12251
NSR:Quay:1935,10984
NSR:Quay:10472,35883
NSR:Quay:91625,25941
NSR:Quay:27948,11994
NSR:Quay:993,61128
NSR:Quay:37963,2764
NSR:Quay:101913,1931
NSR:Quay:24924,1003
NSR:Quay:31277,9517
NSR:Quay:49655,6657
NSR:Quay:29817,1775
NSR:Quay:12917,7350
NSR:Quay:95740,1597
NSR:Quay:80234,1414
NSR:Quay:10331,16446
NSR:Quay:11763,1806
NSR:Quay:105728,51988
NSR:Quay:71407,15724
NSR:Quay:94946,798
NSR:Quay:91295,2147
NSR:Quay:10822,31110
NSR:Quay:40311,1338
NSR:Quay:18013,14427
NSR:Quay:68032,637
NSR:Quay:40058,5361
NSR:Quay:6071,44406
NSR:Quay:46163,51801
NSR:Quay:45595,20361
NSR:Quay:41034,14222
NSR:Quay:46888,783
NSR:Quay:47671,16217
NSR:Quay:94782,2107
NSR:Quay:91335,1295
NSR:Quay:30882,10065
NSR:Quay:10719,54923
NSR:Quay:5408,24841
NSR:Quay:53973,63529
NSR:Quay:10563,19015
NSR:Quay:24329,17658
NSR:Quay:50513,3394
NSR:Quay:10744,64012
NSR:Quay:26356,4895
NSR:Quay:40952,417
NSR:Quay:10270,39561
NSR:Quay:55328,8776
NSR:Quay:50372,12202
14497045,340
NSR:Quay:91313,1163
NSR:Quay:81294,3900
NSR:Quay:28371,8815
NSR:Quay:37026,17225
NSR:Quay:98044,2426
NSR:Quay:39424,27768
NSR:Quay:7389,23379
NSR:Quay:40190,15918
NSR:Quay:35376,2896
NSR:Quay:11741,33344
NSR:Quay:75511,2886
NSR:Quay:12981,796
NSR:Quay:10369,22465
NSR:Quay:28431,10358
NSR:Quay:94616,1361
NSR:Quay:56178,17892
NSR:Quay:50023,10534
NSR:Quay:76657,1822
NSR:Quay:65490,4091
NSR:Quay:7592,3627
NSR:Quay:36538,18526
NSR:Quay:7108,2858
NSR:Quay:75585,24946
NSR:Quay:74207,4824
NSR:Quay:97516,404
NSR:Quay:3735,20589
NSR:Quay:101290,465
NSR:Quay:51928,2643
NSR:Quay:30006,26807
NSR:Quay:10396,40615
NSR:Quay:11442,58003
NSR:Quay:48095,13530
NSR:Quay:42459,6339
NSR:Quay:2573,376
NSR:Quay:54664,13124
NSR:Quay:25429,5865
NSR:Quay:18345,482
NSR:Quay:85492,3107
NSR:Quay:29228,922
NSR:Quay:55025,1598
NSR:Quay:88616,3762
NSR:Quay:58175,3527
NSR:Quay:100469,7413
NSR:Quay:42979,8636
NSR:Quay:107544,23119
NSR:Quay:47230,46203
NSR:Quay:65166,3236
NSR:Quay:48775,61391
NSR:Quay:54040,2017
NSR:Quay:2413,1898
NSR:Quay:50733,6723
NSR:Quay:7096,3073
NSR:Quay:2437,6771
NSR:Quay:70172,660
NSR:Quay:32998,19078
NSR:Quay:58554,4667
NSR:Quay:30906,7361
NSR:Quay:104012,8682
NSR:Quay:31146,1755
NSR:Quay:32061,11372
NSR:Quay:32062,11660
NSR:Quay:33815,1896
NSR:Quay:32317,6022
NSR:Quay:31102,1794
NSR:Quay:43500,10461
NSR:Quay:34072,8381
NSR:Quay:4043,9214
NSR:Quay:67699,4804
14302557,741
NSR:Quay:36512,6217
NSR:Quay:99946,794
NSR:Quay:81821,3717
NSR:Quay:49004,34919
NSR:Quay:55884,14794
NSR:Quay:88245,7435
NSR:Quay:52336,3817
NSR:Quay:3877,2315
NSR:Quay:27235,1004
NSR:Quay:4713,3919
NSR:Quay:9245,21283
NSR:Quay:49494,5751
NSR:Quay:40954,12399
NSR:Quay:20362,488
NSR:Quay:55231,4266
NSR:Quay:84438,2108
NSR:Quay:12577,5094
NSR:Quay:6969,1427
NSR:Quay:70666,5206
NSR:Quay:3137,990
NSR:Quay:24304,1537
NSR:Quay:98164,1965
NSR:Quay:89273,551
NSR:Quay:24913,439
NSR:Quay:26419,1104
NSR:Quay:108144,1880
NSR:Quay:96529,1146
NSR:Quay:73383,4984
NSR:Quay:96083,1438
NSR:Quay:79305,373
NSR:Quay:42435,6608
NSR:Quay:67707,17132
NSR:Quay:68097,1314
NSR:Quay:16934,2793
NSR:Quay:9674,317
NSR:Quay:32210,566
NSR:Quay:20830,551
NSR:Quay:29318,570
NSR:Quay:36207,1216
NSR:Quay:32404,1435
NSR:Quay:95820,1871
NSR:Quay:90955,1146
NSR:Quay:65636,706
14114671,1782
NSR:Quay:85572,1371
NSR:Quay:74244,1093
